id,title,date,description,digitized,language,subject,location_city,location_state,location_country,image_url,url,item_date_issued,item_created_published,item_medium,item_language,item_newspaper_title,item_lccn,item_place_of_publication
http://www.loc.gov/item/sn85038615/1913-11-27/ed-1/,"The times dispatch (Richmond, Va.), November 27, 1913",1913-11-27,"Richmond, Va.",True,english,"richmond (va.), newspapers, united states, virginia, richmond",richmond,virginia,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:vi:batch_vi_sepia_ver01:data:sn85038615:00296020059:1913112701:0611/full/pct:3.125/0/default.jpg#h=261&w=202,https://www.loc.gov/item/sn85038615/1913-11-27/ed-1/,1913-11-27,"Richmond, Va., November 27, 1913",14 pages,eng,The times dispatch,sn85038615,"Richmond, Va."
http://www.loc.gov/item/2012218613/1884-03-12/ed-1/,"The Fairfield news and herald (Winnsboro, S.C.), March 12, 1884",1884-03-12,"Winnsboro, S.C.",True,english,"fairfield county (s.c.), south carolina, newspapers, united states, fairfield, fairfield county, winnsboro",winnsboro,south carolina,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:scu:batch_scu_henryjohnson_ver01:data:2012218613:00237288403:1884031201:0041/full/pct:3.125/0/default.jpg#h=334&w=245,https://www.loc.gov/item/2012218613/1884-03-12/ed-1/,1884-03-12,"Winnsboro, S.C., March 12, 1884",4 pages,eng,The Fairfield news and herald,2012218613,"Winnsboro, S.C."
http://www.loc.gov/item/sn86092066/1907-11-22/ed-1/,"Bluefield evening leader (Bluefield, W. Va.), November 22, 1907",1907-11-22,"Bluefield, W. Va.",True,english,"bluefield (w. va.), bluefield, newspapers, united states, west virginia, mercer",bluefield,west virginia,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:wvu:batch_wvu_ellis_ver01:data:sn86092066:0041418652A:1907112201:0565/full/pct:3.125/0/default.jpg#h=292&w=225,https://www.loc.gov/item/sn86092066/1907-11-22/ed-1/,1907-11-22,"Bluefield, W. Va., November 22, 1907",8 pages,eng,Bluefield evening leader,sn86092066,"Bluefield, W. Va."
http://www.loc.gov/item/sn94060041/1940-04-05/ed-1/,"Peninsula enterprise (Accomac, Va.), April 5, 1940",1940-04-05,"Accomac, Va.",True,english,"accomack, newspapers, united states, accomac (va.), virginia, accomac",accomac,virginia,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:vi:batch_vi_doxa_ver01:data:sn94060041:00542866846:1940040501:0179/full/pct:6.25/0/default.jpg#h=415&w=307,https://www.loc.gov/item/sn94060041/1940-04-05/ed-1/,1940-04-05,"Accomac, Va., April 5, 1940",16 pages,eng,Peninsula enterprise,sn94060041,"Accomac, Va."
http://www.loc.gov/item/sn85025148/1863-10-31/ed-1/,"Baltimore Wecker (Baltimore [Md.]), October 31, 1863",1863-10-31,Baltimore [Md.],True,german,"germans, german, newspapers, united states, baltimore, maryland, baltimore (md.)",baltimore,maryland,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mdu:batch_mdu_dollseyes_ver01:data:sn85025148:00332898255:1863103101:0219/full/pct:3.125/0/default.jpg#h=290&w=221,https://www.loc.gov/item/sn85025148/1863-10-31/ed-1/,1863-10-31,"Baltimore [Md.], October 31, 1863",4 pages,ger,Baltimore Wecker.,sn85025148,Baltimore [Md.]
http://www.loc.gov/item/sn84023253/1871-09-22/ed-1/,"St. Johnsbury Caledonian (St. Johnsbury, Vt.), September 22, 1871",1871-09-22,"St. Johnsbury, Vt.",True,english,"caledonia, newspapers, caledonia county (vt.), united states, saint johnsbury (vt.), saint johnsbury, caledonia county, vermont",saint johnsbury,vermont,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:vtu:batch_vtu_montpelier_ver01:data:sn84023253:00200296278:1871092201:0151/full/pct:6.25/0/default.jpg#h=453&w=360,https://www.loc.gov/item/sn84023253/1871-09-22/ed-1/,1871-09-22,"St. Johnsbury, Vt., September 22, 1871",4 pages,eng,St. Johnsbury Caledonian.,sn84023253,"St. Johnsbury, Vt."
http://www.loc.gov/item/sn83020847/1944-11-09/ed-1/,"Springfield weekly Republican (Springfield, Mass.), November 9, 1944",1944-11-09,"Springfield, Mass.",True,english,"hampden, springfield, newspapers, united states, massachusetts, springfield (mass.)",springfield,massachusetts,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mb:batch_mb_basil_ver01:data:sn83020847:00517170823:1944110901:1107/full/pct:3.125/0/default.jpg#h=270&w=202,https://www.loc.gov/item/sn83020847/1944-11-09/ed-1/,1944-11-09,"Springfield, Mass., November 9, 1944",14 pages,eng,Springfield weekly Republican,sn83020847,"Springfield, Mass."
http://www.loc.gov/item/sn90059228/1921-06-15/ed-1/,"Warren sheaf (Warren, Marshall County, Minn.), June 15, 1921",1921-06-15,"Warren, Marshall County, Minn.",True,english,"newspapers, warren (minn.), united states, warren, marshall, minnesota",warren,minnesota,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mnhi:batch_mnhi_quiring_ver01:data:sn90059228:00280766677:1921061501:0257/full/pct:3.125/0/default.jpg#h=275&w=193,https://www.loc.gov/item/sn90059228/1921-06-15/ed-1/,1921-06-15,"Warren, Marshall County, Minn., June 15, 1921",8 pages,eng,Warren sheaf,sn90059228,"Warren, Marshall County, Minn."
http://www.loc.gov/item/sn83025561/1824-07-15/ed-1/,"The Rhode-Island Republican (Newport, R.I.), July 15, 1824",1824-07-15,"Newport, R.I.",True,english,"newport (r.i.), newspapers, united states, newport, newport county, newport county (r.i.), rhode island",newport,rhode island,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:rp:batch_rp_beholder_ver02:data:sn83025561:00514153176:1824071501:0726/full/pct:3.125/0/default.jpg#h=269&w=160,https://www.loc.gov/item/sn83025561/1824-07-15/ed-1/,1824-07-15,"Newport, R.I., July 15, 1824",4 pages,eng,The Rhode-Island Republican,sn83025561,"Newport, R.I."
http://www.loc.gov/item/sn96060002/1916-01-31/ed-1/,"The Alaska citizen (Fairbanks, Alaska), January 31, 1916",1916-01-31,"Fairbanks, Alaska",True,english,"newspapers, united states, fairbanks, fairbanks (alaska), alaska",fairbanks,alaska,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:ak:batch_ak_gyrfalcon_ver01:data:sn96060002:00279526272:1916013101:0039/full/pct:6.25/0/default.jpg#h=439&w=337,https://www.loc.gov/item/sn96060002/1916-01-31/ed-1/,1916-01-31,"Fairbanks, Alaska, January 31, 1916",8 pages,eng,The Alaska citizen,sn96060002,"Fairbanks, Alaska"
